Rosalind_7077 Rosalind_1633
Rosalind_6013 Rosalind_5933
Rosalind_6013 Rosalind_8039
Rosalind_6013 Rosalind_6806
Rosalind_0214 Rosalind_4012
Rosalind_6417 Rosalind_0835
Rosalind_8777 Rosalind_6880
Rosalind_3861 Rosalind_2124
Rosalind_0939 Rosalind_7077
Rosalind_0939 Rosalind_4459
Rosalind_3080 Rosalind_1844
Rosalind_3080 Rosalind_9614
Rosalind_3357 Rosalind_3467
Rosalind_5772 Rosalind_2930
Rosalind_2255 Rosalind_2893
Rosalind_3520 Rosalind_2439
Rosalind_6591 Rosalind_1844
Rosalind_6591 Rosalind_9614
Rosalind_3976 Rosalind_5265
Rosalind_5421 Rosalind_2255
Rosalind_5421 Rosalind_5680
Rosalind_0729 Rosalind_9378
Rosalind_0374 Rosalind_0411
Rosalind_6667 Rosalind_3895
Rosalind_8710 Rosalind_6013
Rosalind_8710 Rosalind_2033
Rosalind_9320 Rosalind_0985
Rosalind_9320 Rosalind_5196
Rosalind_5544 Rosalind_4225
Rosalind_5544 Rosalind_3357
Rosalind_5544 Rosalind_1887
Rosalind_0008 Rosalind_0411
Rosalind_5921 Rosalind_1932
Rosalind_0835 Rosalind_2545
Rosalind_1844 Rosalind_6417
Rosalind_1844 Rosalind_1076
Rosalind_7025 Rosalind_9269
Rosalind_1633 Rosalind_0939
Rosalind_1633 Rosalind_3520
Rosalind_1633 Rosalind_0147
Rosalind_9378 Rosalind_5544
Rosalind_9378 Rosalind_7069
Rosalind_2545 Rosalind_3976
Rosalind_2545 Rosalind_1599
Rosalind_2545 Rosalind_8343
Rosalind_2893 Rosalind_9945
Rosalind_2930 Rosalind_9378
Rosalind_1870 Rosalind_0899
Rosalind_3939 Rosalind_5933
Rosalind_3939 Rosalind_8039
Rosalind_3939 Rosalind_6806
Rosalind_2131 Rosalind_0899
Rosalind_9269 Rosalind_7025
Rosalind_1887 Rosalind_0985
Rosalind_1887 Rosalind_5196
Rosalind_6880 Rosalind_4225
Rosalind_6880 Rosalind_3357
Rosalind_6880 Rosalind_1887
Rosalind_2124 Rosalind_9378
Rosalind_8343 Rosalind_5421
Rosalind_8343 Rosalind_6614
Rosalind_9645 Rosalind_2893
Rosalind_0129 Rosalind_9645
Rosalind_3563 Rosalind_3204
Rosalind_7219 Rosalind_2739
Rosalind_7219 Rosalind_1801
Rosalind_2985 Rosalind_8710
Rosalind_8039 Rosalind_0411
Rosalind_2827 Rosalind_8777
Rosalind_2827 Rosalind_7287
Rosalind_2827 Rosalind_2641
Rosalind_1649 Rosalind_4225
Rosalind_1649 Rosalind_3357
Rosalind_1649 Rosalind_1887
Rosalind_9901 Rosalind_5421
Rosalind_9901 Rosalind_6614
Rosalind_2033 Rosalind_0214
Rosalind_2033 Rosalind_3121
Rosalind_2033 Rosalind_7686
Rosalind_5265 Rosalind_8245
Rosalind_1076 Rosalind_3080
Rosalind_1076 Rosalind_2985
Rosalind_0899 Rosalind_4225
Rosalind_0899 Rosalind_3357
Rosalind_0899 Rosalind_1887
Rosalind_1044 Rosalind_0985
Rosalind_1044 Rosalind_5196
Rosalind_9945 Rosalind_0985
Rosalind_9945 Rosalind_5196
Rosalind_5680 Rosalind_8710
Rosalind_3467 Rosalind_3861
Rosalind_3467 Rosalind_7709
Rosalind_3467 Rosalind_7219
Rosalind_3121 Rosalind_2930
Rosalind_2869 Rosalind_3939
Rosalind_2869 Rosalind_3854
Rosalind_2869 Rosalind_9047
Rosalind_9802 Rosalind_5803
Rosalind_9802 Rosalind_9559
Rosalind_3854 Rosalind_6417
Rosalind_3854 Rosalind_1076
Rosalind_1801 Rosalind_0214
Rosalind_1801 Rosalind_3121
Rosalind_1801 Rosalind_7686
Rosalind_3961 Rosalind_5772
Rosalind_3961 Rosalind_0374
Rosalind_3961 Rosalind_9320
Rosalind_3961 Rosalind_3563
Rosalind_3961 Rosalind_1044
Rosalind_2887 Rosalind_0411
Rosalind_6614 Rosalind_0939
Rosalind_6614 Rosalind_3520
Rosalind_6614 Rosalind_0147
Rosalind_0958 Rosalind_9645
Rosalind_2716 Rosalind_5772
Rosalind_2716 Rosalind_0374
Rosalind_2716 Rosalind_9320
Rosalind_2716 Rosalind_3563
Rosalind_2716 Rosalind_1044
Rosalind_0147 Rosalind_0214
Rosalind_0147 Rosalind_3121
Rosalind_0147 Rosalind_7686
Rosalind_6806 Rosalind_0899
Rosalind_4012 Rosalind_2124
Rosalind_8245 Rosalind_7025
Rosalind_4705 Rosalind_9645
Rosalind_7069 Rosalind_4282
Rosalind_7069 Rosalind_2131
Rosalind_7069 Rosalind_9901
Rosalind_5803 Rosalind_4570
Rosalind_5803 Rosalind_1649
Rosalind_5803 Rosalind_9802
Rosalind_4459 Rosalind_8245
